Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Воронежский институт федеральной службы исполнения наказаний Российской Федерации,https://vuzopedia.ru/vuz/2964,161,0.0,0,90000,0.0,"Бакалавриат, Специалитет","Инфокоммуникационные технологии и системы специальной связи, Информационная безопасность телекоммуникационных систем, Правоохранительная деятельность, Юриспруденция"
Волгоградский государственный институт искусств и культуры,https://vuzopedia.ru/vuz/2994,213,73.23,520,181097,65.85,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Вокальное искусство, Дирижирование, Звукорежиссура культурно-массовых представлений и концертных программ"
Волгоградский государственный социально-педагогический университет,https://vuzopedia.ru/vuz/2996,1142,68.1,1483,101853,77.86,"Бакалавриат, Специалитет, Магистратура","Графика, Дизайн, Живопись и изящные искусства, Ландшафтная архитектура, Лингвистика"
Волгоградская государственная академия физической культуры,https://vuzopedia.ru/vuz/3020,292,56.31,105,104314,82.73,"Бакалавриат, Магистратура","Психолого-педагогическое образование, Спорт, Физическая культура, Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая кул.."
Волгоградская консерватория (институт) им. П.А. Серебрякова,https://vuzopedia.ru/vuz/3025,51,84.85,32,277608,35.29,"Бакалавриат, Специалитет, Магистратура","Дирижирование, Искусство концертного исполнительства, Искусство народного пения, Музыкально-инструментальное искусство, Музыкально-театральное искусство"
"
                    Волжский институт экономики, педагогики и права                ",https://vuzopedia.ru/vuz/3027,14,0.0,400,61091,93.75,"Бакалавриат, Специалитет","Менеджмент, Психолого-педагогическое образование, Экономика, Экономическая безопасность, Юриспруденция"
Волгоградская академия МВД России,https://vuzopedia.ru/vuz/3038,349,0.0,0,0,0.0,"Бакалавриат, Специалитет","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности, Судебная экспертиза"
Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышев..,https://vuzopedia.ru/vuz/3048,2628,69.29,2088,94602,85.48,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биология, Биотехнические системы и технологии, География, Геология"
Саратовская государственная консерватория им. Л.В. Собинова,https://vuzopedia.ru/vuz/3069,132,73.38,57,230000,40.0,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Вокальное искусство, Искусство концертного исполнительства, Искусство народного пения, Композиция"
Саратовская государственная юридическая академия,https://vuzopedia.ru/vuz/3088,530,84.97,2118,97390,88.37,"Бакалавриат, Специалитет, Магистратура","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Судебная экспертиза"
Тюменский государственный медицинский университет,https://vuzopedia.ru/vuz/3129,623,78.1,540,201833,82.83,"Бакалавриат, Специалитет, Магистратура","Лечебное дело, Педиатрия, Сестринское дело, Стоматология, Фармация"
Братский государственный университет,https://vuzopedia.ru/vuz/3149,574,63.04,1422,111396,75.56,"Бакалавриат, Специалитет, Магистратура","Инфокоммуникационные технологии и системы связи, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Лесное дело, Наземные транспортно-технологические комплексы"
Тюменский государственный институт культуры,https://vuzopedia.ru/vuz/3152,165,70.27,104,205776,33.33,"Бакалавриат, Специалитет, Магистратура","Архитектура, Библиотечно-информационная деятельность, Вокальное искусство, Графика, Декоративно-прикладное искусство и народные промыслы"
Государственный аграрный университет Северного Зауралья,https://vuzopedia.ru/vuz/3179,702,53.36,694,139674,77.46,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биология, Ветеринария"
Алтайский государственный институт культуры,https://vuzopedia.ru/vuz/3194,321,67.85,105,111297,37.9,"Бакалавриат, Специалитет","Актерское искусство, Библиотечно-информационная деятельность, Графика, Декоративно-прикладное искусство и народные промыслы, Дизайн"
Алтайский государственный аграрный университет,https://vuzopedia.ru/vuz/3211,822,53.29,590,79395,87.82,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Ветеринария, Ветеринарно-санитарная экспертиза"
Алтайский государственный медицинский университет,https://vuzopedia.ru/vuz/3222,735,65.96,435,182833,75.85,Специалитет,"Клиническая психология, Лечебное дело, Медико-профилактическое дело, Педиатрия, Стоматология"
Иркутский государственный медицинский университет,https://vuzopedia.ru/vuz/3232,473,69.1,745,213450,77.92,"Бакалавриат, Специалитет","Клиническая психология, Лечебное дело, Медико-профилактическое дело, Медицинская биохимия, Педиатрия"
Восточно-Сибирский институт Министерства внутренних дел РФ,https://vuzopedia.ru/vuz/3238,253,0.0,0,0,0.0,"Бакалавриат, Специалитет","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности, Судебная экспертиза"
Ангарский государственный технический университет,https://vuzopedia.ru/vuz/3242,324,61.31,225,115963,88.73,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Информатика и вычислительная техника, Менеджмент, Строительство, Технологические машины и оборудование"
Дальневосточный юридический институт Министерства внутренних дел России,https://vuzopedia.ru/vuz/3269,0,0.0,0,0,0.0,"Бакалавриат, Специалитет","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности"
Алтайский государственный технический университет им. И.И. Ползунова,https://vuzopedia.ru/vuz/3279,1288,65.45,689,100012,77.51,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биотехнология, Государственное и муниципальное управление, Дизайн, Дизайн архитектурной среды"
Ярославский государственный медицинский университет,https://vuzopedia.ru/vuz/3294,527,78.87,225,163326,77.96,"Бакалавриат, Специалитет","Клиническая психология, Лечебное дело, Медицинская биохимия, Педиатрия, Социальная работа"
Владивостокский государственный университет,https://vuzopedia.ru/vuz/3323,500,67.32,1895,164311,67.76,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Бизнес-информатика, Горное дело, Государственное и муниципальное управление"
Морской государственный университет им. адм. Г.И. Невельского,https://vuzopedia.ru/vuz/3337,672,54.04,622,199731,64.05,"Бакалавриат, Специалитет","Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность телекоммуникационных систем, Информационно-аналитические системы безопасности, Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
Дальневосточный институт коммуникаций,https://vuzopedia.ru/vuz/3352,0,0.0,70,53500,100.0,Специалитет,"Судовождение, Эксплуатация судовых энергетических установок"
Рыбинский государственный авиационный технический университет имени П. А. Соловьёва,https://vuzopedia.ru/vuz/3372,471,66.11,481,124523,81.16,"Бакалавриат, Специалитет, Магистратура","Двигатели летательных аппаратов, Информатика и вычислительная техника, Конструирование и технология электронных средств, Конструкторско-технологическое обеспечение машиностроительных производств, Материаловедение и технологии материалов"
Ярославский государственный аграрный университет,https://vuzopedia.ru/vuz/3374,285,53.9,235,102125,78.57,"Бакалавриат, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Ветеринарно-санитарная экспертиза, Зоотехния"
Ярославский государственный театральный институт,https://vuzopedia.ru/vuz/3376,25,74.0,65,204667,21.43,Специалитет,Актерское искусство
Национальный исследовательский Томский политехнический университет,https://vuzopedia.ru/vuz/3397,3256,74.46,704,166035,77.76,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Атомные станции: проектирование, эксплуатация и инжиниринг, Биотехнические системы и технологии, Биотехнология, Землеустройство и кадастры"
Сибирский государственный медицинский университет,https://vuzopedia.ru/vuz/3446,911,72.82,580,199703,78.85,"Бакалавриат, Специалитет","Биология, Биотехнология, Клиническая психология, Лечебное дело, Медицинская биофизика"
Международная академия бизнеса и новых технологий (МУБиНТ),https://vuzopedia.ru/vuz/3502,270,0.0,1605,60441,90.0,"Бакалавриат, Магистратура","Государственное и муниципальное управление, Градостроительство, Землеустройство и кадастры, Лингвистика, Менеджмент"
Рязанский государственный медицинский университет им. акад. И.П. Павлова,https://vuzopedia.ru/vuz/3537,544,83.18,445,187028,66.14,Специалитет,"Клиническая психология, Лечебное дело, Медико-профилактическое дело, Педиатрия, Стоматология"
Кемеровский государственный университет,https://vuzopedia.ru/vuz/3552,2188,68.72,1555,124010,76.66,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Биология, Биотехнические системы и технологии, Биотехнология, Ветеринария"
Оренбургский государственный аграрный университет,https://vuzopedia.ru/vuz/3566,690,58.67,317,103579,88.55,"Бакалавриат, Специалитет","Агроинженерия, Агрономия, Ветеринария, Ветеринарно-санитарная экспертиза, Землеустройство и кадастры"
Оренбургский государственный институт искусств,https://vuzopedia.ru/vuz/3574,40,62.5,20,446955,30.56,"Бакалавриат, Специалитет","Актерское искусство, Библиотечно-информационная деятельность, Вокальное искусство, Дирижирование, Искусство народного пения"
Оренбургский государственный медицинский университет,https://vuzopedia.ru/vuz/3577,564,69.42,490,194583,73.73,Специалитет,"Клиническая психология, Лечебное дело, Медико-профилактическое дело, Педиатрия, Стоматология"
Кемеровский государственный медицинский университет,https://vuzopedia.ru/vuz/3602,737,71.61,710,159103,73.67,"Бакалавриат, Специалитет","Биология, Клиническая психология, Лечебное дело, Медико-профилактическое дело, Медицинская биохимия"
Кемеровский государственный институт культуры,https://vuzopedia.ru/vuz/3615,386,63.89,79,100475,44.44,"Бакалавриат, Магистратура","Библиотечно-информационная деятельность, Декоративно-прикладное искусство и народные промыслы, Дизайн, Дирижирование, Документоведение и архивоведение"
Современный технический университет,https://vuzopedia.ru/vuz/3627,9,45.84,385,69800,63.16,"Бакалавриат, Магистратура","Архитектура, Информатика и вычислительная техника, Природообустройство и водопользование, Сервис, Строительство"
Академия права и управления Федеральной службы исполнения наказаний,https://vuzopedia.ru/vuz/3629,405,0.0,185,114857,0.0,"Бакалавриат, Специалитет, Магистратура","Педагогика и психология девиантного поведения, Правоохранительная деятельность, Психология служебной деятельности, Тыловое обеспечение, Экономическая безопасность"
Астраханская государственная консерватория,https://vuzopedia.ru/vuz/3654,75,74.57,38,156565,18.75,"Бакалавриат, Специалитет, Магистратура","Вокальное искусство, Дирижирование, Искусство концертного исполнительства, Искусство народного пения, Музыкально-инструментальное искусство"
Пензенский государственный университет архитектуры и строительства,https://vuzopedia.ru/vuz/3719,968,69.4,790,110078,75.32,"Бакалавриат, Специалитет, Магистратура","Архитектура, Градостроительство, Дизайн, Жилищное хозяйство и коммунальная инфраструктура, Землеустройство и кадастры"
Ставропольский государственный медицинский университет,https://vuzopedia.ru/vuz/3755,686,75.56,485,81983,72.39,"Бакалавриат, Специалитет","Биотехнология, Клиническая психология, Лечебное дело, Педиатрия, Сестринское дело"
Невинномысский государственный гуманитарно-технический институт,https://vuzopedia.ru/vuz/3784,260,50.6,400,62847,90.57,"Бакалавриат, Магистратура","Информационные системы и технологии, Машиностроение, Менеджмент, Педагогическое образование, Профессиональное обучение (по отраслям)"
"
                    Ессентукский институт управления, бизнеса и права                ",https://vuzopedia.ru/vuz/3789,0,0.0,1005,59600,75.68,"Бакалавриат, Магистратура","Менеджмент, Прикладная информатика, Экономика, Юриспруденция"
Белгородский государственный институт искусств и культуры,https://vuzopedia.ru/vuz/3793,232,67.35,205,55069,45.88,"Бакалавриат, Специалитет, Магистратура","Библиотечно-информационная деятельность, Вокальное искусство, Графика, Декоративно-прикладное искусство и народные промыслы, Дизайн"
Белгородский государственный национальный исследовательский университет,https://vuzopedia.ru/vuz/3799,2902,71.25,1361,102749,81.74,"Бакалавриат, Специалитет","Бизнес-информатика, Биология, Биотехнические системы и технологии, Биотехнология, География"
Смоленская государственная сельскохозяйственная академия,https://vuzopedia.ru/vuz/3827,323,58.09,487,87194,81.43,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Бизнес-информатика, Ветеринария, Ветеринарно-санитарная экспертиза"
Смоленский государственный институт искусств,https://vuzopedia.ru/vuz/3840,133,63.18,13,74167,58.62,Бакалавриат,"Библиотечно-информационная деятельность, Музеология и охрана объектов культурного и природного наследия, Музыкальное искусство эстрады, Музыкознание и музыкально-прикладное искусство, Народная художественная культура"
Белгородский государственный аграрный университет имени В.Я. Горина,https://vuzopedia.ru/vuz/3855,996,58.26,1055,103253,95.38,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Землеустройство и кадастры, Зоотехния"
Смоленский государственный медицинский университет Министерства здравоохранения Российской..,https://vuzopedia.ru/vuz/3866,443,70.28,488,168750,68.06,Специалитет,"Клиническая психология, Лечебное дело, Медицинская биохимия, Педиатрия, Стоматология"
Смоленский государственный университет спорта,https://vuzopedia.ru/vuz/3868,475,56.83,179,75920,67.57,"Бакалавриат, Магистратура","Менеджмент, Организация работы с молодежью, Педагогическое образование, Рекреация и спортивно-оздоровительный туризм, Спорт"
Смоленская Православная Духовная Семинария,https://vuzopedia.ru/vuz/3870,16,0.0,0,110303,0.0,Бакалавриат,Теология
Филиал Московского государственного университета имени М.В. Ломоносова в городе Севастополе,https://vuzopedia.ru/vuz/3881,98,0.0,85,294500,0.0,"Бакалавриат, Специалитет","География, Государственное и муниципальное управление, Журналистика, История, Прикладная математика и информатика"
Филиал Московского государственного университета имени М.В. Ломоносова в Казахстане,https://vuzopedia.ru/vuz/3892,260,0.0,49,466344,0.0,"Бакалавриат, Магистратура","Математика, Прикладная математика и информатика, Филология, Экология и природопользование, Экономика"
Ахтубинский филиал «Взлет» Московского авиационного института (национального исследователь..,https://vuzopedia.ru/vuz/3894,38,59.12,70,113193,58.33,"Бакалавриат, Специалитет","Испытание летательных аппаратов, Менеджмент, Радиоэлектронные системы и комплексы"
Байконурский филиал «Восход» Московского авиационного института (национального исследовате..,https://vuzopedia.ru/vuz/3896,55,0.0,125,151600,0.0,"Бакалавриат, Специалитет","Информатика и вычислительная техника, Испытание летательных аппаратов, Менеджмент, Прикладная математика"
Жуковский филиал «Стрела» Московского авиационного института (национального исследовательс..,https://vuzopedia.ru/vuz/3899,81,70.89,187,163856,71.43,"Бакалавриат, Специалитет","Баллистика и гидроаэродинамика, Информатика и вычислительная техника, Испытание летательных аппаратов, Менеджмент, Радиоэлектронные системы и комплексы"
Ступинский филиал Московского авиационного института (национального исследовательского уни..,https://vuzopedia.ru/vuz/3903,56,63.75,160,145750,67.86,Бакалавриат,"Автоматизация технологических процессов и производств, Двигатели летательных аппаратов, Информатика и вычислительная техника, Материаловедение и технологии материалов, Менеджмент"
Егорьевский технологический институт Московского государственного технологического универс..,https://vuzopedia.ru/vuz/3915,100,66.35,117,124359,76.67,Бакалавриат,"Автоматизация технологических процессов и производств, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Теплоэнергетика и теплотехника, Техносферная безопасность"
Мытищинский филиал Национального исследовательского Московского государственного строитель..,https://vuzopedia.ru/vuz/3921,123,64.2,15,205000,38.89,Бакалавриат,Строительство
Пермский филиал Национального исследовательского университета «Высшая школа экономики»,https://vuzopedia.ru/vuz/3949,338,85.68,380,228889,68.83,Бакалавриат,"Бизнес-информатика, Дизайн, Лингвистика, Менеджмент, Программная инженерия"
Дальневосточный институт (филиал) Всероссийского государственного университета юстиции (РП..,https://vuzopedia.ru/vuz/3959,15,76.98,464,108425,62.5,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Судебная и прокурорская деятельность, Юриспруденция"
Ижевский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюс..,https://vuzopedia.ru/vuz/3961,103,80.0,450,75100,58.82,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Миню..,https://vuzopedia.ru/vuz/3963,66,78.6,400,98900,90.0,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Судебная и прокурорская деятельность, Юриспруденция"
Казанский институт (филиал) Всероссийского государственного университета юстиции (РПА Миню..,https://vuzopedia.ru/vuz/3965,0,83.4,615,100000,100.0,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Судебная экспертиза, Юриспруденция"
Калужский институт (филиал) Всероссийского государственного университета юстиции,https://vuzopedia.ru/vuz/3967,10,76.85,327,95250,82.61,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Поволжский институт (филиал) Всероссийского государственного университета юстиции,https://vuzopedia.ru/vuz/3969,61,72.8,250,64200,94.12,"Бакалавриат, Специалитет, Магистратура","Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Ростовский институт (филиал) Всероссийского государственного университета юстиции (РПА Мин..,https://vuzopedia.ru/vuz/3971,6,84.31,429,88719,77.42,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Санкт-Петербургский институт (филиал) Всероссийского государственного университета юстиции..,https://vuzopedia.ru/vuz/3973,11,86.83,640,165975,90.0,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Судебная и прокурорская деятельность, Судебная экспертиза, Юриспруденция"
Северный институт (филиал) Всероссийского государственного университета юстиции,https://vuzopedia.ru/vuz/3975,6,74.0,175,108000,100.0,"Бакалавриат, Специалитет, Магистратура","Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Северо-Кавказский институт (филиал) Всероссийского государственного университета юстиции,https://vuzopedia.ru/vuz/3977,32,78.76,515,71591,81.08,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Юриспруденция"
Средне-Волжский институт (филиал) Всероссийского государственного университета юстиции (РП..,https://vuzopedia.ru/vuz/3979,23,84.01,410,76500,95.0,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Юриспруденция"
Волжский филиал Национального исследовательского университета «МЭИ»,https://vuzopedia.ru/vuz/3984,89,61.66,70,90440,48.78,"Бакалавриат, Магистратура","Теплоэнергетика и теплотехника, Электроэнергетика и электротехника"
Смоленский филиал Национального исследовательского университета «МЭИ»,https://vuzopedia.ru/vuz/3986,469,71.73,575,99828,72.73,"Бакалавриат, Специалитет, Магистратура","Информатика и вычислительная техника, Оптотехника, Прикладная информатика, Строительство, Теплоэнергетика и теплотехника"
Новотроицкий филиал Национального исследовательского технологического университета «МИСИС»,https://vuzopedia.ru/vuz/3990,75,65.86,68,99779,63.64,Бакалавриат,"Металлургия, Прикладная информатика, Теплоэнергетика и теплотехника, Технологические машины и оборудование, Химическая технология"
Старооскольский технологический институт им. А.А. Угарова (филиал) Национального исследова..,https://vuzopedia.ru/vuz/3992,240,65.38,245,90940,72.62,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Информационные системы и технологии, Менеджмент, Металлургия, Строительство"
Московский областной филиал Московского университета Министерства внутренних дел Российско..,https://vuzopedia.ru/vuz/4013,235,0.0,0,0,0.0,"Бакалавриат, Специалитет","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности"
Рязанский филиал Московского университета Министерства внутренних дел Российской Федерации..,https://vuzopedia.ru/vuz/4015,116,0.0,0,0,0.0,"Бакалавриат, Специалитет","Обеспечение законности и правопорядка, Правовое обеспечение национальной безопасности"
"
                    Уральский филиал Российской академии живописи, ваяния и зодчества Ильи Глазунова                ",https://vuzopedia.ru/vuz/4020,12,70.97,13,218788,11.11,"Бакалавриат, Специалитет","Архитектура, Декоративно-прикладное искусство и народные промыслы, Дизайн архитектурной среды, Живопись, Скульптура"
Воронежский филиал Ростовского государственного университета путей сообщения,https://vuzopedia.ru/vuz/4049,45,51.54,170,39868,83.33,Специалитет,"Подвижной состав железных дорог, Системы обеспечения движения поездов, Строительство железных дорог, мостов и транспортных тоннелей, Эксплуатация железных дорог"
Алтайский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4055,93,70.4,181,94440,85.0,"Бакалавриат, Магистратура","Менеджмент, Прикладная информатика, Экономика"
Владикавказский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4069,77,72.81,180,97239,100.0,"Бакалавриат, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Экономика, Юриспруденция"
Калужский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4073,46,79.31,118,146200,79.17,"Бакалавриат, Магистратура","Бизнес-информатика, Менеджмент, Экономика"
Краснодарский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4076,66,84.95,360,94173,84.38,"Бакалавриат, Магистратура","Бизнес-информатика, Менеджмент, Прикладная математика и информатика, Экономика"
Новороссийский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4082,77,73.37,190,105313,93.33,Бакалавриат,"Бизнес-информатика, Инноватика, Менеджмент, Реклама и связи с общественностью, Туризм"
Омский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4084,39,82.38,225,131217,75.0,"Бакалавриат, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Экономика"
Орловский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4086,27,69.09,78,82365,100.0,"Бакалавриат, Магистратура","Менеджмент, Экономика"
Пензенский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4088,33,81.5,108,95625,100.0,"Бакалавриат, Магистратура","Менеджмент, Экономика"
Санкт-Петербургский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4090,59,81.18,419,200360,84.62,Бакалавриат,"Бизнес-информатика, Менеджмент, Экономика"
Смоленский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4092,53,74.72,292,93344,94.44,"Бакалавриат, Специалитет","Бизнес-информатика, Менеджмент, Таможенное дело, Экономика, Юриспруденция"
Тульский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4094,22,84.88,214,116414,89.66,"Бакалавриат, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Экономика"
Уфимский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4096,52,79.77,344,111880,95.0,"Бакалавриат, Магистратура","Бизнес-информатика, Менеджмент, Прикладная информатика, Экономика, Юриспруденция"
Уральский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4098,28,80.69,325,115165,75.0,"Бакалавриат, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Реклама и связи с общественностью, Экономика"
Ярославский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4100,46,85.2,265,124800,72.73,"Бакалавриат, Магистратура","Государственное и муниципальное управление, Журналистика, Медиакоммуникации, Менеджмент, Экономика"
Воскресенский институт туризма (филиал РМАТ),https://vuzopedia.ru/vuz/4108,0,0.0,70,130167,50.0,Бакалавриат,Управление персоналом
Калужский филиал Российского государственного аграрного университета - МСХА им. К.А. Тимир..,https://vuzopedia.ru/vuz/4110,148,56.97,587,112364,80.3,"Бакалавриат, Специалитет","Агроинженерия, Агрономия, Ветеринария, Землеустройство и кадастры, Зоотехния"
Западно-Подмосковный институт туризма (филиал РМАТ),https://vuzopedia.ru/vuz/4114,0,0.0,230,125400,42.86,Бакалавриат,"Менеджмент, Управление персоналом"
Казанский филиал Российской международной академии туризма,https://vuzopedia.ru/vuz/4117,0,0.0,190,82120,85.71,Бакалавриат,"Менеджмент, Туризм"
Анапский филиал Российского государственного социального университета,https://vuzopedia.ru/vuz/4130,0,0.0,200,78700,0.0,Бакалавриат,"Государственное и муниципальное управление, Информатика и вычислительная техника, Педагогическое образование, Психология, Социальная работа"
Московский филиал РМАТ (Измайлово),https://vuzopedia.ru/vuz/4133,0,0.0,170,183744,63.64,Бакалавриат,"Гостиничное дело, Дизайн архитектурной среды, Менеджмент, Технология продукции и организация общественного питания"
